sigma_meta,replicate,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
0.002761699813343849,16,0.7606742021807724,0.761046348595922,0.24589504490885034,0.24509502218794596,0.49699883064011297,0.49538183849241685,2.0211827807442933,1.016527869389033
0.002761699813343849,17,0.7575322239514746,0.7603945310933804,0.2525110958758178,0.24833513582277528,0.4990600063979619,0.49080668729703036,1.9763884223265742,0.9912025730386306
0.002761699813343849,18,0.7616685997680278,0.7598911869424331,0.24781783700882185,0.24931705782390887,0.4953166523461878,0.49831316399450065,1.9987126767172756,0.9885873616656891
0.002761699813343849,19,0.7543240097917252,0.7542362744707148,0.2552152937729423,0.2569754848093444,0.5011557143422581,0.5046121286628347,1.9636586308503987,0.9849708161768348
0.003874675120456132,0,0.7569338981696108,0.7551845624149252,0.25155314925971084,0.2527303981896392,0.502052017121314,0.5044015810272472,1.9958089119487858,1.0020286492706234
0.003874675120456132,1,0.7565942435661028,0.7527340943561907,0.25163979060156544,0.2565446395959061,0.49824457498272334,0.5079561329072374,1.9799912159822937,0.9988560625123282
0.003874675120456132,2,0.7600532408341064,0.7592335462371563,0.24392471022222006,0.24898172843185135,0.49772927189468996,0.5080481362243633,2.0405036924764577,1.0181578418084585
0.003874675120456132,3,0.7566352313875293,0.7555591298403636,0.2553311427720692,0.25343573386074986,0.5025487836185669,0.49881819504836006,1.968223610181331,0.9825033150803282
0.003874675120456132,4,0.7587649402390438,0.7602409638554217,0.2543222386138877,0.2508763243867588,0.5015249524641532,0.4947295893123678,1.9720058898410724,0.9648367843171312
0.003874675120456132,5,0.7552043640447635,0.7602616777693566,0.2515727657375857,0.24746793279433782,0.5002352458958238,0.49207306621509966,1.988431634995088,1.0116856267148013
