dprime,replicate,sigma_meta,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
1.5,7,0.001,0.7077671464179465,0.701305420679774,0.33009210608864387,0.3408049224661632,0.4916841153676813,0.5076412423226121,1.4895361212777474,0.9852229346148236
1.5,8,0.001,0.7125220458553791,0.7014210442280058,0.3251268530642731,0.33901856588974527,0.487297379852984,0.5081181616423752,1.4987915493914987,0.9799204460430723
1.5,9,0.001,0.7016581223966677,0.6970278044103547,0.33286961234080753,0.33892442926250493,0.5058239729803439,0.5150247874658245,1.5195859106011083,1.0160376491045109
1.5,10,0.001,0.705581713549841,0.7079638980557433,0.32850558115538586,0.32872880187860243,0.49487206013581997,0.49520832747951216,1.5064342541618536,1.01555111697634
1.5,11,0.001,0.7086611013003692,0.7010046244618083,0.334075259698033,0.34520118393639593,0.48573154963871956,0.5019081812945562,1.4539584585753733,0.9769887102139911
1.5,12,0.001,0.7041156394298334,0.7058776648734808,0.3369093787428073,0.33691936586041754,0.4960797563201119,0.4960944617785617,1.4724427030534328,0.982668399218134
1.5,13,0.001,0.7075048107761386,0.7009498722860792,0.3293162005526851,0.33842828295607164,0.4947010337447527,0.5083892658358475,1.502206793697077,0.9927555315585809
1.5,14,0.001,0.7107784431137725,0.7025250501002004,0.32581909805992537,0.3345423879341737,0.4917737984915404,0.5049402624046315,1.5093461415238842,0.9943144817397558
1.5,15,0.001,0.70132760950791,0.7067868931648016,0.3355748126421364,0.325566651047781,0.5097469241901257,0.4945442647612105,1.5190261753456742,1.0150698326168288
1.5,16,0.001,0.7083082842371047,0.704099964070422,0.31969364093002123,0.3260645674262696,0.49746269761607925,0.5073762456989178,1.5560606591013504,1.0360998224989797
1.5,17,0.001,0.6980905967883678,0.7053192341584555,0.34353109365690637,0.333901018344251,0.5133814054215995,0.49898998150215523,1.494424856733135,0.9798200819548093
1.5,18,0.001,0.7055190117118563,0.7052417424605074,0.3262727769842171,0.3282988720412296,0.49880634359337883,0.5019038409589341,1.5288016003171105,1.0247336899908248
1.5,19,0.001,0.7043137568464398,0.7040461039740665,0.3339609093530271,0.3337374471455238,0.4974899861237557,0.4971571022220878,1.4896653236677575,1.0096792226880695
2.0,0,0.001,0.7582496413199427,0.7588325036132969,0.25296417929416387,0.25094046036262657,0.49757143494731865,0.49359085265497704,1.9669640038983893,0.9814980862382192
2.0,1,0.001,0.7621001473927419,0.7600112463348998,0.24832580234769125,0.24861528553365173,0.49491314843082673,0.495490088215686,1.9929992926706759,0.9871928106003267
2.0,2,0.001,0.757010847730012,0.7554759060135404,0.2510969511155824,0.25523814262436306,0.5008361348889057,0.5090961250635285,1.9945926569947312,0.9901844814447563
