tauY,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.48499999999999993,5,0.001,0.2498273518113685,0.24414874104655457,0.49752637169062863,0.4862175274444853,0.7578406994465389,0.7641027686906566
0.48499999999999993,6,0.001,0.2465808122931936,0.24362448230107223,0.5017375573004234,0.49572207793272116,0.7595372483087146,0.7630201047204125
0.48499999999999993,7,0.001,0.2434070023065959,0.24240010546393928,0.4954908330054359,0.4934411460589197,0.7613558777460943,0.7642723397474204
0.48499999999999993,8,0.001,0.249299167785012,0.2408809174838672,0.49847615642601256,0.481643781527892,0.7600986986110558,0.7659711333574559
0.48499999999999993,9,0.001,0.25166121069456104,0.24488494291111212,0.4978715885694602,0.48446582295064816,0.7600255122379016,0.7647507425543871
0.48499999999999993,10,0.001,0.24848697818853133,0.2422780670737869,0.5051898092200606,0.4925666985669857,0.7553679131483715,0.7640270592916832
0.48499999999999993,11,0.001,0.2461630245198013,0.24868914154040667,0.4843596929028671,0.4893301764542613,0.7631249747790646,0.764740869978984
0.48499999999999993,12,0.001,0.2462795271314464,0.23942517546818498,0.5037778472505902,0.48975690703913144,0.7598898247574947,0.7654014188945448
0.48499999999999993,13,0.001,0.2524286656212314,0.24006911158383396,0.5057705080275087,0.4810066884783149,0.7552705410821643,0.7679041916167665
0.48499999999999993,14,0.001,0.24249721165878188,0.2445203483167244,0.4924815062448984,0.49659024375089816,0.7606413052257491,0.7633330691813931
0.48499999999999993,15,0.001,0.249183724197202,0.24078878311477353,0.506648601293618,0.4895797290345747,0.7571766024742763,0.7654557806817728
0.48499999999999993,16,0.001,0.2508898177421897,0.24528575371055145,0.49586961564898135,0.48479349824235035,0.7585807790549169,0.762989095574086
0.48499999999999993,17,0.001,0.2497648137844226,0.24176176785557021,0.5013051199128755,0.48524213714823994,0.7574565453012725,0.7665909362668899
0.48499999999999993,18,0.001,0.24703915989817402,0.24599435796526964,0.49388871186275085,0.49179990990517236,0.7608809017610012,0.7631925332056958
0.48499999999999993,19,0.001,0.2519515439765224,0.2452207666555262,0.494895045239469,0.4816741365909329,0.7579107586317392,0.7651593832387953
0.5575,0,0.001,0.2485201271451716,0.2752721681788654,0.5006240380933391,0.5545138978941239,0.7588879124390828,0.7324761675879196
0.5575,1,0.001,0.2508792675421247,0.279397533227839,0.4944299694362965,0.5506334388162298,0.7574529551017133,0.73142720421103
0.5575,2,0.001,0.2567828743412126,0.2771864122143514,0.5143021172672219,0.5551677036300935,0.7520236054069142,0.7308695477709563
0.5575,3,0.001,0.24693396197832976,0.2751489169696989,0.4973742315544916,0.5542047762262218,0.7601746514981573,0.7333439846620866
0.5575,4,0.001,0.24857218452544116,0.27217696636971395,0.5070107081094152,0.555157193929948,0.758066441217426,0.7321938467725719
