c,replicate,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.6,18,1.9913612593277539,1.9749078413946344,0.991737602679549,0.25496121234721053,0.2425573152644523,0.5035248975159885,0.47902834390339727,0.6721576948849676,0.818147825003116
-0.6,19,1.986067701042255,1.9764604640979757,0.9951626840619595,0.24523817247854482,0.2594516625970345,0.4847035521914841,0.5127959534675263,0.6785653190397445,0.807627144749407
-0.5,0,1.9945389087225873,2.0482901321320695,1.0269491977190395,0.24368816267465765,0.2509315011110847,0.49914405892389574,0.5139805175669222,0.6918006854732401,0.8027710649266957
-0.5,1,2.009392023350996,1.9938822426977172,0.9922813565132932,0.25473895869579416,0.24744228834657872,0.5079194862668512,0.4933707848267316,0.6872486026223685,0.8066241047412257
-0.5,2,2.01879012405076,1.9931973042775752,0.9873226941878277,0.25377777134129775,0.25204331579103856,0.5058291697230456,0.5023720575958797,0.686659990512834,0.8043961710768041
-0.5,3,2.018411362390707,2.021856013724928,1.0017066151124618,0.2544286958818382,0.24702149072163873,0.5144181888328854,0.4994418865348418,0.6837602351459164,0.8068372754297531
-0.5,4,1.9824185095390887,1.9810239567290935,0.9992965396543239,0.24606771813214284,0.25361822624374303,0.4874660445974369,0.5024237820519942,0.6949796758697144,0.8028141803780147
-0.5,5,2.0025000943878304,1.980867794732512,0.9891973539896729,0.2533845538029733,0.25240587800409703,0.5019213023109773,0.49998267493949916,0.6879612059877714,0.8040801856387779
-0.5,6,1.9953124682711558,1.9679380560816733,0.9862806389351132,0.255437818997021,0.2556125293120123,0.5026858049667399,0.5030296240444012,0.686712032494593,0.8019199175337435
-0.5,7,2.008649478379721,1.9954843895093672,0.9934458007671039,0.24854658025789275,0.2496879430049695,0.49597082097056205,0.4982483925151212,0.6938047526622253,0.8052493777677215
-0.5,8,1.9882042329624134,2.0157270168207253,1.013843036546252,0.25160615571056955,0.25200464414290125,0.5071693256641973,0.5079725695631387,0.6857909129154396,0.8025432481280661
-0.5,9,1.9893404484007715,1.9839829483128728,0.9973068963172163,0.24820107312633066,0.25189471285787945,0.4924266968355965,0.4997548150802002,0.6934855819827405,0.80381339527681
-0.5,10,2.0135662981549625,1.980363410300156,0.9835104074371773,0.2526944788865506,0.25529016227085033,0.5004268999717901,0.5055672963707813,0.6877352987963307,0.8028965030024726
-0.5,11,1.9873701809783155,2.0053598296073143,1.009051986791984,0.25002761750577646,0.24807127009952218,0.5013953404385066,0.49747215993724786,0.6882399368587214,0.8060654944345862
-0.5,12,1.9823052330442872,2.0164627115256923,1.0172311901880764,0.24614027612773956,0.24784204803888918,0.49633268861622437,0.4997642482185794,0.6915320451905818,0.8060403116749307
-0.5,13,1.9980640798745504,2.0245774024842373,1.013269505656371,0.2420552961186539,0.24754734402648798,0.4900596826734572,0.5011787587610189,0.6940512929658401,0.807408831634942
-0.5,14,1.9873950241714997,2.013412641834554,1.0130913166967903,0.2503132376243003,0.2521395611048718,0.503983837051303,0.5076609798351649,0.6865198796134959,0.8030005473101317
