tauN,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.355,13,0.6828283961732932,0.25119860560325474,1.35446020161814,0.49827821440693554,0.36623334938212165,0.757178178337853
-1.355,14,0.67220470495136,0.25255571869610904,1.3510748928733893,0.5076157427469922,0.3713666291954392,0.755699027578511
-1.355,15,0.6752716026038685,0.25647689661484363,1.340111971324331,0.5089918755598737,0.3733733733733734,0.7522477522477522
-1.355,16,0.6765815167026583,0.24981075077111442,1.3594830987772253,0.5019550271211916,0.3711459455147381,0.756307914477115
-1.355,17,0.6926064115020077,0.25288601341315914,1.3492275235031232,0.4926329931975012,0.3662112496005113,0.7579301505927587
-1.355,18,0.6734437981202455,0.24904010987145472,1.3587080897634545,0.5024514486619529,0.37122060470324747,0.7576412225956153
-1.355,19,0.6783908815724302,0.24991117317369704,1.3510547557815773,0.49771258460411266,0.369875115447938,0.7598517751125633
-1.2825,0,0.64830748500102,0.24816913854468028,1.2958930642720197,0.49606193487941475,0.3947778177027189,0.7593876487797059
-1.2825,1,0.6349655873362366,0.252937627942303,1.2663598462768584,0.5044526223576784,0.4039095808864934,0.7569019015036996
-1.2825,2,0.6376136539051447,0.24394656181282917,1.2973635567348085,0.4963622989381631,0.40084505919400487,0.7625737566732228
-1.2825,3,0.6432174231894805,0.2530505977019651,1.2852037989238019,0.5056168843714604,0.3961832979192559,0.754320150057868
-1.2825,4,0.6413448805910478,0.24662859985986293,1.2902641521280336,0.4961699249792873,0.3984175191815857,0.7607303010890455
-1.2825,5,0.6362540012344637,0.24479956328433425,1.2950663650114582,0.49827848620822573,0.40128481366211793,0.7614483920121903
-1.2825,6,0.6432678805107888,0.2515191903268723,1.2782625154960847,0.49980352301668207,0.40079872204472844,0.7574519230769231
-1.2825,7,0.6355226586473355,0.24994494858559846,1.2783035215544298,0.5027444790902594,0.40465636356375545,0.7578027965864017
-1.2825,8,0.639302098550406,0.24760633500828844,1.2859468259998201,0.498056523392206,0.3976474366694769,0.7601131879956957
-1.2825,9,0.6408569276182583,0.2515348668495687,1.2755175488139079,0.500637697711382,0.4013081337024999,0.7586426891024363
-1.2825,10,0.6327560187261018,0.2500344227019395,1.2688502559185513,0.501387947083491,0.40325497287522605,0.7575552458690026
-1.2825,11,0.6387198118316559,0.24959253315633453,1.2853272603740147,0.50226731801486,0.40118900371064914,0.7569074066647953
-1.2825,12,0.6424751200518825,0.2493394071874414,1.279746240961661,0.49665918432136197,0.3986778846153846,0.7584664536741214
-1.2825,13,0.6399156287640754,0.249150332714492,1.2995366367888326,0.5059729296750479,0.39460154241645246,0.7576880178457617
-1.2825,14,0.6324266738274805,0.2515982456023198,1.2793875047013357,0.5089786135684,0.40396500521711215,0.7575552188820668
-1.2825,15,0.6298163580808891,0.2476767087464839,1.2791429161910584,0.5030258478264096,0.4057060541795046,0.75908672877764
