c,replicate,sigma_meta,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-0.7,4,0.001,2.0362012389062554,2.0182434644902365,0.9911807467391264,0.24664173891476587,0.24875422024812804,0.49778307763523344,0.5020465792801493,0.6609160855974994,0.8204651720417216
-0.7,5,0.001,2.0018346291090836,2.0148795282320657,1.0065164719069666,0.2500058887893909,0.2503019367801223,0.5037317472592062,0.5043282482951051,0.6558025283086694,0.8186075835359813
-0.7,6,0.001,2.0020832511345095,2.0236410542555547,1.010767685663835,0.2440554395238578,0.25067458732032405,0.4938806069348624,0.5072753861599767,0.6606345759440222,0.8187421458919275
-0.7,7,0.001,2.028186310626723,2.0074777597482414,0.989789621017567,0.24607528168551215,0.2507646161786647,0.4939906552074494,0.5034043899104734,0.6608474268048736,0.8200161179595857
-0.7,8,0.001,2.005113169596349,2.011687568255572,1.0032788167565359,0.24679849983069455,0.24778215749347268,0.49648147397353315,0.4984602858651633,0.6596077487666947,0.820989873569417
-0.7,9,0.001,2.0001654141773715,2.0056821223036683,1.0027581259465812,0.2513836831710296,0.24634348331251288,0.5041957591749836,0.4940867204259191,0.6539481615430982,0.8223286441185274
-0.7,10,0.001,2.0050479760216957,2.0072375968979674,1.0010920541066635,0.24251022473583955,0.2494948970995118,0.4867756407219526,0.5007955376923298,0.6642805144382431,0.8206826590285237
-0.7,11,0.001,1.9937470892041516,1.9980482912969366,1.002157345892102,0.2564934231958186,0.24291886978679747,0.5124862459453073,0.48536363270129373,0.648686030428769,0.8247280572952563
-0.7,12,0.001,1.974947625548229,2.0022055364320157,1.0138018398721942,0.25172851278881025,0.25256474658164496,0.5040122219835533,0.5056865339133185,0.6524280033739005,0.817525896652895
-0.7,13,0.001,2.045297569798219,1.9770666621767727,0.9666401072249953,0.2520813509648397,0.24500667285436878,0.4983816351490672,0.48439452491122337,0.6586826347305389,0.8251411838527505
-0.7,14,0.001,2.018888202643957,1.9771640411761335,0.9793330995677813,0.2523599030951308,0.2524617434705344,0.4989569258343862,0.49915828096257414,0.6566170238527667,0.819485096469745
-0.7,15,0.001,1.974086144987313,2.0050991025835736,1.015710032551016,0.24619683071761364,0.25059163478578184,0.4936490443308071,0.5024610620239218,0.6582631355675413,0.8194274455953909
-0.7,16,0.001,1.998623673512732,2.0065996170895355,1.003990718053882,0.24317651195634435,0.25270147210220695,0.4879578957767694,0.5070706771582504,0.6623676846331671,0.8185745783922294
-0.7,17,0.001,1.9875895080858617,2.023568266052494,1.0181017045120555,0.2492899643032649,0.25120336814742783,0.5044552608094458,0.5083271641086368,0.6547426448558931,0.8174777100657441
-0.7,18,0.001,1.99468741856865,1.9838445047441289,0.9945641037670444,0.24720903977725306,0.2508728754796224,0.49042429508517627,0.497692775409607,0.6617203522740982,0.8197295194781881
-0.7,19,0.001,2.021523949917264,2.0126267194842153,0.9955987509159053,0.24840601467128032,0.25221108521595875,0.49994858240800677,0.507606769055749,0.6572514937533949,0.8183123448296491
-0.6,0,0.001,1.9854638123996917,1.990699926058619,1.002637224423949,0.25247281576561453,0.24801521356657946,0.5025976156764201,0.4937238673084023,0.6715254807422772,0.8138544290022697
-0.6,1,0.001,1.999970924006982,1.9873609125386116,0.9936949026023308,0.25348731307706207,0.2502069842953791,0.5037707778337908,0.4972515806327986,0.6701983769161407,0.8131820436507936
-0.6,2,0.001,2.001401147696578,2.0040883144878534,1.0013426427752217,0.24867544517499288,0.2519167541578342,0.4983675537752681,0.5048634232314249,0.6756832437275986,0.8106956197112991
-0.6,3,0.001,2.0004436388500713,1.9648639296038783,0.9822140906370922,0.2572866794371976,0.2495349093699056,0.5055333159937054,0.4903021425979004,0.668806667792983,0.8143473001891883
-0.6,4,0.001,1.9918849499704425,1.9989283839918295,1.003536064681593,0.24852370350042943,0.25052020062410557,0.496781085021778,0.5007719397908522,0.6756059245960503,0.8119094977623074
-0.6,5,0.001,2.0246152893241836,2.0151945144804406,0.9953468815071096,0.2521497804429038,0.24960755691006656,0.5081308543759873,0.5030077794580305,0.6700781645391666,0.8130179718782009
-0.6,6,0.001,1.9737420169737474,2.007468495295942,1.0170875818785607,0.24555415819790205,0.25315602523124614,0.4929422364712041,0.5082027450460712,0.6753320146934162,0.8100913171335706
-0.6,7,0.001,1.9909078178639552,1.987559533269624,0.9983182121420752,0.255040716677553,0.24836542437568151,0.5069086078043877,0.49364106695244164,0.6697042544864986,0.8135023199327375
-0.6,8,0.001,1.993213718597303,2.0143167119517087,1.0105874212872952,0.2518006772960893,0.25236029868249016,0.5072063123582718,0.5083335670692647,0.6677213401887112,0.8108417696046561
-0.6,9,0.001,2.001201470259831,2.0299419401979164,1.0143616074469273,0.24921600002826635,0.25387878198054425,0.505894010625743,0.5153591872686698,0.669901269393512,0.8092021688613478
-0.6,10,0.001,2.0157370353765547,2.029264816669352,1.0067110843604015,0.24226593441655897,0.2489620103171017,0.4916217369890478,0.5052098482237667,0.6787614626967056,0.8135708542091916
-0.6,11,0.001,2.006334192194336,1.9869966866734967,0.9903617724324931,0.25400428325897617,0.24485146575554537,0.504705669236462,0.48651905118341776,0.6713012277849414,0.8167770419426048
-0.6,12,0.001,1.993401454294066,1.9874689020673517,0.9970239049369937,0.25094614568749246,0.24523914189346674,0.4987476606475544,0.4874051680829478,0.6751243503045884,0.815865699068739
