tauY,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.63,13,0.25443720819734217,0.31114205676454704,0.5129772155657949,0.6273012782025923,0.7513104717698371,0.6970290695349675
0.63,14,0.2460264437197459,0.3156109738697188,0.4954622477109334,0.635595589447514,0.7626908625789431,0.695020414698583
0.63,15,0.24838644117431669,0.31164168962434,0.49391472493047117,0.6196973501450088,0.7605386883417006,0.6984177977672477
0.63,16,0.24863327832370027,0.3082826597855507,0.494013787461457,0.6125321815170489,0.7608365929592081,0.7023570913172452
0.63,17,0.2492967759864157,0.317332644190361,0.5004173038584453,0.6369867624788891,0.7587196555985172,0.6913258138321359
0.63,18,0.2518195034091474,0.3130444518526629,0.49970010075463567,0.6211923302751341,0.7584164712428952,0.6963487782295399
0.63,19,0.24509576734902913,0.3148225261461943,0.491787581675271,0.6316951551833887,0.7606415048836368,0.6960312089486883
0.7025,0,0.248008557755509,0.34658876573390635,0.5016611729083815,0.7010650289992969,0.7587266126780229,0.6621345205149801
0.7025,1,0.24506527127905522,0.3443334251716725,0.4914297219252568,0.6904922859877635,0.7632388793413533,0.6674406501461227
0.7025,2,0.2504075579136547,0.34689376293894003,0.5006876677778809,0.6936109699711261,0.7571149163772801,0.6631258267527158
0.7025,3,0.25657951323665845,0.34742748888114605,0.5126140781352782,0.6941170777239515,0.7531203892012601,0.6645267423664888
0.7025,4,0.2530571326346274,0.3570506885450087,0.4918790361745571,0.6940161959416309,0.7595218237420073,0.6571854478062931
0.7025,5,0.25263259773298563,0.3578946729407188,0.48989873550514546,0.6940202859450431,0.7593261131167268,0.6611487834064619
0.7025,6,0.24952466279601454,0.3505413414016383,0.4991431022514966,0.7012144236726301,0.7597736420515682,0.6614204842012286
0.7025,7,0.2511236087458212,0.3462775677003394,0.5107574409799058,0.7042899918119091,0.7557126877596676,0.6635693687920539
0.7025,8,0.25423866141850404,0.35685294020056646,0.5003506488641194,0.7022991671770454,0.7564887022595481,0.6594118823764753
0.7025,9,0.2494950869626088,0.352863401732849,0.5002437324497623,0.7074997238491296,0.7582955502949084,0.6608844758144914
0.7025,10,0.2485290247165727,0.35022184962987263,0.4971991763922185,0.7006425723881277,0.7593339456135447,0.660415915374444
0.7025,11,0.2495359177618311,0.352273478053468,0.499513013399663,0.7051697733198367,0.7585296588136474,0.6606264250570023
0.7025,12,0.24927823850189,0.3499541738741782,0.49608284230537786,0.6964356868672934,0.7606704268170726,0.6647734090636375
0.7025,13,0.2528939963827752,0.3447877558394469,0.5091284563509411,0.694129795131819,0.7558375432594773,0.6648968263545312
0.7025,14,0.24746944088944903,0.35524858908826773,0.49261090189216855,0.7071553046619145,0.7607258742939551,0.6579062986779566
0.7025,15,0.24988617285797954,0.34173781269131454,0.5080186744441784,0.6947530894779187,0.7574162679425838,0.6669743178170144
0.7025,16,0.25157982317880073,0.35345748403574284,0.4999804533866594,0.7024483557073666,0.7565353571858813,0.6614336374865522
0.7025,17,0.25081480286123636,0.34810478637106196,0.5027558568322604,0.6977726918144449,0.7571159774210336,0.6643219695455818
0.7025,18,0.2504590220735042,0.35211331077592317,0.49990378338603986,0.7028007008100896,0.7575054038908013,0.6605244224158606
0.7025,19,0.24932183851032308,0.3453920042906857,0.5072208745641885,0.7026662226243204,0.756207946171099,0.6640699904122723
0.775,0,0.2465121248802523,0.383412057286454,0.5000133465002713,0.7776945898522466,0.7605414470531864,0.6279051129988781
0.775,1,0.2475144017590726,0.3936558298001559,0.4830814214799128,0.7683101123902313,0.7619680315658091,0.6276676072010492
0.775,2,0.24985835948514323,0.38470421420228906,0.502776278974043,0.7741191998571534,0.7583390061266168,0.6299596435849283
0.775,3,0.24517325055937536,0.38354114772405573,0.5020599975579637,0.7854065125391165,0.7600241303036397,0.630117366222399
0.775,4,0.25389326394840117,0.39353621612242723,0.49497564273003,0.7672154766277289,0.7571990053741878,0.6265858134524854
0.775,5,0.24465594338594765,0.37943219423579855,0.500712175567428,0.7765448769679956,0.7610166099659796,0.6314611233260043
0.775,6,0.2592237618812217,0.3878328345363323,0.5067863509908954,0.7582190212145118,0.7527964205816555,0.6305671259211791
0.775,7,0.2510043596671923,0.38737938995285576,0.4959075254093572,0.7653427013013601,0.7593696252149914,0.6303452138085524
0.775,8,0.250488438661888,0.3832267426473438,0.5009619632963386,0.7664306680573526,0.7577210435894363,0.6297705338192303
0.775,9,0.25153722764239533,0.38598237067099855,0.5095659529554344,0.781925905673833,0.7554889022195561,0.6264852970594119
0.775,10,0.2554240273936758,0.3831515502035866,0.5072225628377968,0.7608646423462893,0.754302103250478,0.6309045629820051
0.775,11,0.2524727279740411,0.3938915016929968,0.49768097978036013,0.7764494409466824,0.7566061189301897,0.623319101392602
0.775,12,0.25325979925057557,0.3867038157521647,0.506428843750345,0.7732690575635058,0.7549400777586276,0.6287573350365255
0.775,13,0.24741966365820064,0.38674702119368726,0.5026759106469579,0.7857435750826245,0.7581085420680796,0.6262356505102041
0.775,14,0.24845155100344288,0.38805362804927723,0.495752093849359,0.774309509658097,0.7604324583100615,0.6254110852650998
0.775,15,0.25119998149489664,0.39430566569059916,0.49784651316560385,0.7814638345803189,0.7561973525872443,0.6218587953729557
0.775,16,0.2474074237529312,0.38610277337709276,0.498733694163093,0.778321279014133,0.759896145396445,0.6258361706388944
0.775,17,0.24781650724924897,0.3882743001833106,0.5014682988990948,0.7856912155707552,0.7586151691014609,0.6241055366779932
0.775,18,0.24569504942526166,0.385940605131139,0.4961411627020963,0.7793442359202309,0.7619544706307464,0.6295381182002949
